1.020,2;4,2,2 4,-2,2
3.550,2;1,2 1,-2
4.000,2;1,2 1,-2
6.223,2;4,2,0.6 4,-2,0.6
7.100,1;4,0,3
9.644,1;1,-2.8
9.700,1;3,-2.8
9.850,1;1,2.8
10.100,1;1,-2.8
10.200,1;4,0,0.5
11.950,2;1,-3 1,0
12.250,2;1,3 1,0
12.550,2;1,-3 1,0
12.850,2;1,3 1,0
13.100,2;2,-2.2 2,2.2
13.200,2;2,-2.2 2,2.2
13.600,1;1,0
14.000,1;1,0
14.400,1;1,0
14.800,2;4,-3,0.3 1,0
15.200,1;1,0
15.600,1;1,0
15.800,1;1,3
16.000,1;1,0
16.200,1;1,3
16.400,2;4,3,0.3 1,0
16.800,1;1,0
17.200,1;1,0
17.600,1;1,0
18.000,2;4,-3,0.3 1,0
18.400,1;1,0
18.600,2;2,-2 2,2
19.500,2;1,-3.2 1,3.2
19.770,2;1,-1.2 1,1.2
20.040,2;1,-3.2 1,-1
20.310,2;1,1 1,3.2
20.580,2;1,-3.2 1,-1
20.850,2;1,-1.2 1,1.2
21.120,2;1,-3.2 1,3.2
21.390,2;1,1 1,3.2
21.660,2;1,-3.2 1,-1
21.930,2;1,1 1,3.2
22.200,2;1,-2 1,2
22.500,1;1,4
22.575,1;1,-4
22.650,1;1,4
22.725,1;1,-4
22.800,1;1,3
22.875,1;1,-3
22.950,1;1,3
23.025,1;1,-3
23.100,1;1,2
23.175,1;1,-2
23.250,1;1,2
23.325,1;1,-2
23.400,1;1,1
23.475,1;1,-1
23.550,1;1,1
23.625,1;1,-1
23.725,1;3,0
23.825,1;3,0
23.925,1;3,0
24.025,1;3,0
24.125,1;3,0
24.225,1;3,0
24.325,1;3,0
24.425,1;3,0
24.525,1;3,0
25.500,1;4,0,0.2
25.750,1;1,-4
25.850,1;1,4
25.950,1;1,-2
26.050,1;1,2
26.150,1;1,-4
26.250,1;1,4
26.350,1;1,-2
26.450,1;1,2
26.550,1;1,-4
26.650,1;1,4
26.750,1;1,-2
26.850,1;1,2
27.000,1;4,0,0.2
27.250,1;1,-3.2
27.350,1;1,3.2
27.450,1;1,-3.2
27.550,1;1,3.2
27.650,1;1,-3.2
27.750,1;1,3.2
27.850,1;1,-3.2
27.950,1;1,3.2
28.050,1;1,-3.2
28.150,1;1,3.2
28.250,1;1,-3.2
28.350,1;1,3.2
28.500,1;4,0,0.2
28.750,1;1,2.5
28.850,1;1,-2.5
28.950,1;1,0
29.050,1;1,0
29.150,1;1,2.5
29.250,1;1,-2.5
29.350,1;1,0
29.450,1;1,0
29.550,1;1,2.5
29.650,1;1,-2.5
29.750,1;1,0
29.850,1;1,0
30.000,1;4,0,0.2
30.250,1;1,3.2
30.350,1;1,-3.2
30.450,1;1,3.2
30.550,1;1,-3.2
30.700,1;2,3.2
30.750,1;3,3.2
30.950,1;2,-3.2
31.200,1;1,2.5
31.250,1;3,2.5
31.500,2;4,-1.5,0.2 4,1.5,0.2
31.750,1;1,4
31.850,1;1,-4
31.950,1;1,2
32.050,1;1,-2
32.150,1;1,4
32.250,1;1,-4
32.350,1;1,2
32.450,1;1,-2
32.550,1;1,4
32.650,1;1,-4
32.750,1;1,2
32.850,1;1,-2
33.000,1;4,0,0.2
33.250,1;1,2
33.350,1;1,-4
33.450,1;1,4
33.550,1;1,4
